iter	Passed	Remaining
0	140	140154
1	141	70456
2	141	47110
3	142	35428
4	142	28429
5	143	23752
6	143	20411
7	144	17904
8	144	15955
9	145	14395
10	145	13126
11	146	12064
12	147	11168
13	147	10397
14	148	9728
15	148	9142
16	149	8625
17	149	8164
18	150	7753
19	150	7383
20	151	7050
21	151	6755
22	152	6482
23	153	6226
24	153	5991
25	154	5774
26	154	5572
27	155	5386
28	155	5211
29	156	5049
30	156	4897
31	157	4754
32	157	4624
33	158	4500
34	158	4383
35	159	4270
36	159	4164
37	160	4063
38	161	3967
39	161	3876
40	162	3789
41	162	3708
42	163	3629
43	163	3557
44	164	3485
45	164	3418
46	165	3352
47	165	3289
48	166	3230
49	166	3172
50	167	3117
51	168	3063
52	168	3012
53	169	2962
54	169	2918
55	170	2872
56	170	2827
57	171	2784
58	171	2742
59	172	2702
60	172	2662
61	173	2624
62	173	2587
63	174	2551
64	174	2517
65	175	2483
66	176	2452
67	176	2421
68	177	2390
69	178	2364
70	178	2337
71	179	2309
72	179	2283
73	180	2258
74	181	2233
75	181	2207
76	182	2183
77	182	2159
78	183	2136
79	183	2113
80	184	2090
81	184	2069
82	185	2045
83	185	2024
84	186	2004
85	186	1984
86	187	1964
87	187	1945
88	188	1927
89	188	1909
90	189	1891
91	189	1873
92	190	1856
93	190	1839
94	191	1823
95	191	1807
96	192	1791
97	192	1776
98	193	1760
99	194	1747
100	194	1734
101	195	1720
102	195	1706
103	196	1692
104	196	1678
105	197	1665
106	197	1652
107	198	1639
108	199	1627
109	199	1615
110	200	1602
111	200	1591
112	201	1580
113	201	1569
114	202	1558
115	203	1547
116	203	1536
117	204	1526
118	204	1516
119	205	1505
120	205	1495
121	206	1485
122	206	1475
123	207	1467
124	208	1457
125	208	1448
126	209	1438
127	209	1429
128	210	1420
129	210	1411
130	211	1402
131	212	1394
132	212	1386
133	213	1378
134	213	1370
135	214	1362
136	214	1354
137	215	1346
138	216	1338
139	216	1330
140	217	1323
141	217	1314
142	218	1307
143	218	1299
144	219	1292
145	219	1285
146	220	1278
147	220	1271
148	221	1264
149	222	1258
150	222	1251
151	223	1244
152	223	1237
153	224	1231
154	224	1224
155	225	1218
156	225	1212
157	226	1206
158	226	1199
159	227	1193
160	227	1186
161	228	1180
162	228	1174
163	229	1168
164	229	1163
165	230	1157
166	230	1152
167	231	1146
168	232	1141
169	232	1135
170	233	1130
171	233	1124
172	234	1119
173	234	1114
174	235	1109
175	235	1104
176	236	1098
177	236	1093
178	237	1088
179	237	1083
180	238	1079
181	239	1074
182	239	1070
183	240	1065
184	240	1060
185	241	1055
186	241	1051
187	242	1046
188	242	1042
189	243	1037
190	243	1033
191	244	1028
192	245	1024
193	245	1020
194	246	1015
195	246	1011
196	247	1007
197	247	1003
198	248	999
199	248	995
200	249	991
201	249	987
202	250	983
203	251	979
204	251	975
205	252	971
206	252	967
207	253	963
208	253	959
209	254	956
210	254	952
211	255	948
212	255	944
213	256	941
214	256	937
215	257	934
216	257	930
217	258	927
218	258	923
219	259	920
220	259	916
221	260	912
222	260	909
223	261	905
224	261	902
225	262	898
226	263	895
227	263	892
228	264	889
229	264	886
230	265	882
231	265	879
232	266	876
233	266	873
234	267	869
235	267	866
236	268	863
237	268	860
238	269	857
239	269	854
240	270	851
241	271	849
242	271	846
243	272	843
244	272	840
245	273	837
246	273	834
247	274	832
248	274	829
249	275	826
250	276	823
251	276	821
252	277	818
253	277	815
254	278	813
255	278	810
256	279	807
257	279	805
258	280	802
259	280	799
260	281	796
261	281	794
262	282	791
263	283	789
264	283	786
265	284	784
266	284	781
267	285	779
268	285	776
269	286	774
270	286	771
271	287	769
272	287	766
273	288	764
274	289	762
275	289	759
276	290	757
277	290	754
278	291	752
279	291	750
280	292	747
281	292	745
282	293	743
283	293	740
284	294	738
